key,description,en,ru,es,it,de,nl,fr,pl
toast_services_stop,xRay-Notifications,Stop Services,Остановка служб,Detener servicios,Interrompere i servizi,Dienste stoppen,Diensten stopzetten,Arrêter les services,Zatrzymaj usługi
toast_services_success,xRay-Notifications,Start Services Success,Службы успешно запущены,Iniciar servicios con éxito,Avvia il successo dei servizi,Starten Sie mit Services zum Erfolg,Start Services Succes,Démarrer les services avec succès,Uruchom usługi sukcesem
toast_services_failure,xRay-Notifications,Start Services Failure,Сбой при запуске служб,Error de inicio de servicios,Errore nell'avvio dei servizi,Fehler beim Starten der Dienste,Fout bij starten van services,Échec des services de démarrage,Uruchomienie usług Awaria
toast_none_data,xRay-Notifications,There is nothing,Ничего нет,no hay nada,Non c'è niente,Es gibt nichts,Er is niets,Il n'y a rien,Nie ma nic
connection_test_error_status_code,xRay-Notifications,Error code: #%d,Код ошибки: #%d,Código de error: #%d,Codice errore: #%d,Fehlercode: #%d,Foutcode: #%d,Code d'erreur : #%d,Kod błędu: #%d
title_create_intelligent_selection_all_server,xRay-Notifications,Creating Intelligent Selection Current Group Configuration,Создать конфигурацию умного выбора,Creación de configuración del grupo actual de selección inteligente,Creazione della configurazione del gruppo corrente di selezione intelligente,Erstellen einer intelligenten Auswahl aktueller Gruppenkonfiguration,Intelligente selectie maken Huidige groepsconfiguratie,Création de la configuration actuelle du groupe de sélection intelligente,Tworzenie inteligentnej selekcji bieżącej konfiguracji grupy
intelligent_selection,xRay-Notifications,Intelligent Selection,Умный выбор,Selección inteligente,Selezione intelligente,Intelligente Auswahl,Intelligente selectie,Sélection intelligente,Inteligentny wybór
sub_setting_intelligent_selection_filter,xRay-Notifications,Remarks Intelligent Selection regular filter,Название фильтра умного выбора,Observaciones Filtro regular de selección inteligente,Osservazioni Filtro regolare di selezione intelligente,Bemerkungen: Regulärer Filter „Intelligente Auswahl“.,Opmerkingen Intelligent Selection regulier filter,Remarques Filtre régulier de sélection intelligente,Uwagi Filtr zwykły Inteligentny Wybór
title_intelligent_selection_method,xRay-Notifications,Intelligent Selection Method,Принцип умного выбора,Método de selección inteligente,Metodo di selezione intelligente,Intelligente Auswahlmethode,Intelligente selectiemethode,Méthode de sélection intelligente,Inteligentna metoda selekcji
about_activity_title,About Activity,About the App,О приложении,Acerca de la aplicación,Informazioni sull'app,Über die App,Over de app,À propos de l'application,Ainformacje o aplikacji
about_activity_version,About Activity,Version,Версия,Versión,Versione,Version,Versie,Version,Wersja
about_activity_version_example,About Activity,Version 1.1.2(156),Версия 1.1.2(156),Versión 1.1.2(156),Versione 1.1.2(156),Version 1.1.2(156),Versie 1.1.2(156),Version 1.1.2(156),Wersja 1.1.2(156)
about_activity_license,About Activity,Cookie Policy,Политика cookie,Política de cookies,Politica sui cookie,Cookie-Richtlinie,Cookiebeleid,Politique en matière de cookies,Polityka plików cookie
about_activity_privacy,About Activity,Privacy Policy,Политика Конфиденциальности,Política de privacidad,Informativa sulla privacy,Datenschutzrichtlinie,Privacybeleid,Politique de confidentialité,Polityka prywatności
about_activity_copyright_name,About Activity,©EasyLight VPN,©EasyLight VPN,©EasyLight VPN,©EasyLight VPN,©EasyLight VPN,©EasyLight VPN,©EasyLight VPN,©EasyLight VPN
about_activity_rights_reserved,About Activity,All rights reserved,Все права защищены,Todos los derechos reservados,Tutti i diritti riservati,Alle Rechte vorbehalten,Alle rechten voorbehouden,Tous droits réservés,Wszelkie prawa zastrzeżone
about_activity_web_cite,About Activity,Website,Наш сайт,Sitio web,Sito web,Website,Website,Site Web,Strona internetowa
about_activity_version_copied,About Activity,Version copied to clipboard,Версия скопирована в буфер обмена,Versión copiada al portapapeles,Versione copiata negli appunti,Version in die Zwischenablage kopiert,Versie gekopieerd naar klembord,Version copiée dans le presse-papiers,Wersja skopiowana do schowka
share_activity_title,Share Activity,"Invite friends 
and earn bonuses","Приглашай друзей 
и получай бонусы","Invita amigos 
 y gana bonificaciones","Invita gli amici 
 e guadagna bonus","Laden Sie Freunde 
 ein und verdienen Sie Boni","Nodig vrienden uit 
en verdien bonussen","Invitez des amis 
 et gagnez des bonus","Zaproś znajomych 
 i zdobywaj bonusy"
share_main_button,Share Activity,Share,Поделиться,Compartir,Condividi,Teilen,Deel,Partager,Udostępnij
share_faq,Share Activity,How it works,Как это работает,como funciona,Come funziona,Wie es funktioniert,Hoe het werkt,Comment ça marche,Jak to działa
share_referral_description,Share Activity,signed up using your link,авторизовались по вашей ссылке,registrado usando su enlace,registrati utilizzando il tuo link,Habe mich über deinen Link angemeldet,aangemeld via jouw link,inscrit en utilisant votre lien,zarejestrowałem się za pomocą Twojego linku
share_days_description,Share Activity,total number of bonus days,общее количество бонусных дней,número total de días de bonificación,numero totale di giorni bonus,Gesamtzahl der Bonustage,totaal aantal bonusdagen,nombre total de jours bonus,łączna liczba dni premiowych
share_block_title,Share Activity,"Log in to your account to
 receive bonuses","Войдите в аккаунт, чтобы
 получить бонусы","Inicie sesión en su cuenta para 
 recibir bonos","Accedi al tuo account per 
 ricevere bonus","Melden Sie sich bei Ihrem Konto an, um Boni zu erhalten","Log in op uw account om
 bonussen te ontvangen","Connectez-vous à votre compte pour
 recevoir des bonus","Zaloguj się na swoje konto, aby
 otrzymać bonusy"
share_block_description,Share Activity,"They will be credited and will become
 visible only after logging in","Они будут начислены и станут
 видимы только после авторизации","Se les acreditará y se volverán visibles 
 solo después de iniciar sesión.","Verranno accreditati e diventeranno 
 visibili solo dopo aver effettuato il login",Sie werden gutgeschrieben und sind erst nach der Anmeldung sichtbar,"Ze worden gecrediteerd en worden 
 pas zichtbaar na het inloggen",Ils seront crédités et deviendront visibles uniquement après connexion.,"Zostaną one zaliczone i staną się 
 widoczne dopiero po zalogowaniu"
share_faq_title,Share Activity,How it works,Как это работает,como funciona,Come funziona,Wie es funktioniert,Hoe het werkt,Comment ça marche,Jak to działa
share_faq_description,Share Activity,Share the referral link and earn bonus days for the %s plan,Поделитесь реферальной ссылкой и получите бонусные дни %s-тарифа,Comparte el enlace de referencia y gana días de bonificación para el plan %s,Condividi il link di riferimento e guadagna giorni bonus per il piano %s,Teilen Sie den Empfehlungslink und verdienen Sie Bonustage für den %s-Plan,Deel de verwijzingslink en verdien bonusdagen voor het %s-abonnement,Partagez le lien de parrainage et gagnez des jours bonus pour le plan %s,Udostępnij link polecający i zdobądź dodatkowe dni w ramach planu %s
share_faq_content_1_title,Share Activity,What you need to do:,Что делать вам:,Lo que necesitas hacer:,Cosa devi fare:,Was Sie tun müssen:,Wat u moet doen:,Ce que vous devez faire :,Co musisz zrobić:
share_faq_content_1,Share Activity,"1.	Share the referral link with a friend;
2.	Wait for your friend to download and log in to the app;
3.	After that, you'll receive bonus days for the %s plan.","1.	Поделитесь реферальной ссылкой с другом;
2.	Дождитесь, пока друг скачает и авторизуется в приложении;
3.	После этого вам начислятся бонусные дни %s-тарифа.","1.	Comparta el enlace de referencia con un amigo;
2.	Espere a que su amigo descargue e inicie sesión en la aplicación;
3.	Después de eso, recibirá días de bonificación para el plan %s.","1.	Condividi il link di riferimento con un amico;
2.	Aspetta che il tuo amico scarichi e acceda all'app;
3.	Successivamente riceverai giorni bonus per il piano %s.","1.	Teilen Sie den Empfehlungslink mit einem Freund;
2.	Warten Sie, bis Ihr Freund die App heruntergeladen und sich angemeldet hat;
3.	Danach erhalten Sie Bonustage für den %s-Tarif.","1.	Deel de verwijzingslink met een vriend;
2.	Wacht tot uw vriend de app downloadt en inlogt;
3.	Daarna ontvangt u bonusdagen voor het %s-abonnement.","1.	Partagez le lien de parrainage avec un ami ;
2.	Attendez que votre ami télécharge et se connecte à l'application ;
3.	Après cela, vous recevrez des jours bonus pour le plan %s.","1.	Udostępnij link polecający znajomemu;
2.	Poczekaj, aż znajomy pobierze aplikację i się zaloguje;
3.	Następnie otrzymasz dni bonusowe w ramach planu %s."
share_faq_content_2_title,Share Activity,What your friend needs to do:,Что делать другу:,Lo que tu amigo debe hacer:,Cosa deve fare il tuo amico:,Was Ihr Freund tun muss:,Wat je vriend moet doen:,Ce que votre ami doit faire :,Co musi zrobić Twój znajomy:
share_faq_content_2,Share Activity,"1.	Install the EasyLight VPN app;
2.	Log in for the first time;
3.	Done!","1.	Установить приложение EasyLight VPN;
2.	Авторизоваться впервые;
3.	Готово!","1.	Instale la aplicación EasyLight VPN;
2.	Inicie sesión por primera vez;
3.	¡Listo!","1.	Installa l'app EasyLight VPN;
2.	Accedi per la prima volta;
3.	Fatto!","1.	Installieren Sie die EasyLight VPN-App;
2.	Zum ersten Mal anmelden;
3.	Fertig!","1.	Installeer de EasyLight VPN-app;
2.	Log voor de eerste keer in;
3.	Klaar!","1.	Installez l'application EasyLight VPN ;
2.	Connectez-vous pour la première fois ;
3.	Terminé !","1.	Zainstaluj aplikację EasyLight VPN;
2.	Zaloguj się po raz pierwszy;
3.	Gotowe!"
mail_confirm_activity_title,Mail Confirm Activity,Check your email,Проверьте почту,Revisa tu correo electrónico,Controlla la tua email,Überprüfen Sie Ihre E-Mails,Controleer uw e-mail,Vérifiez votre courrier électronique,Sprawdź swój e-mail
mail_confirm_activity_describe,Mail Confirm Activity,The confirmation link has been sent to,"Ссылка для подтверждения почты 
 отправлена на",El enlace de confirmación ha sido enviado a,Il link di conferma è stato inviato a,Der Bestätigungslink wurde an gesendet,De bevestigingslink is verzonden naar,Le lien de confirmation a été envoyé à,Link potwierdzający został wysłany na adres
mail_confirm_on_enter_screen,Mail Confirm Activity,Go to home,На главную,ir a casa,Vai a casa,Geh nach Hause,Ga naar huis,Rentre à la maison,Idź do domu
report_activity_title,Report Activity,"Report
 a problem","Сообщить
о проблеме","Reportar
 un problema","Segnala
 un problema","Melde
 ein Problem","Meld 
 een probleem","Signaler un problème avec 
","Zgłoś
 problem"
report_activity_mail,Report Activity,Email,Почта,Correo electrónico,E-mail,E-Mail,E-mail,Courriel,E-mail
report_activity_mail_empty_error,Report Activity,Please enter an email for feedback,Введите почту для обратной связи,Por favor ingrese un correo electrónico para recibir comentarios,Inserisci un'e-mail per il feedback,Bitte geben Sie eine E-Mail-Adresse für Feedback ein,Voer een e-mailadres in voor feedback,Veuillez entrer un e-mail pour obtenir des commentaires,"Wprowadź adres e-mail, aby uzyskać opinię"
report_activity_mail_exist_error,Report Activity,Invalid email format,Неверный формат почты,Formato de correo electrónico no válido,Formato email non valido,Ungültiges E-Mail-Format,Ongeldig e-mailformaat,Format d'e-mail invalide,Nieprawidłowy format wiadomości e-mail
report_activity_problem_hint,Report Activity,Please describe your problem in detail,Подробно опишите вашу проблему,Por favor describe tu problema detalladamente,Descrivi il tuo problema in dettaglio,Bitte beschreiben Sie Ihr Problem ausführlich,Beschrijf uw probleem gedetailleerd,Veuillez décrire votre problème en détail,Opisz szczegółowo swój problem
report_activity_send,Report Activity,Send,Отправить,enviar,Invia,Senden,Verzenden,Envoyer,Wyślij
report_activity_send_success_title,Report Activity,Request sent,Обращение отправлено,Solicitud enviada,Richiesta inviata,Anfrage gesendet,Verzoek verzonden,Demande envoyée,Zapytanie wysłane
report_activity_send_success_button,Report Activity,Got it,Понятно,Lo tengo,Capito,Verstanden,Ik heb het,Je l'ai compris,Rozumiem
report_activity_send_success_description,Report Activity,"Thank you for your message!
We will contact you at the provided email address shortly.","Спасибо за ваше сообщение!
Мы свяжемся с вами по указанной почте в ближайшее время.","¡Gracias por su mensaje! 
 Nos comunicaremos con usted en breve a la dirección de correo electrónico proporcionada.","Grazie per il tuo messaggio!
Ti contatteremo a breve all'indirizzo email fornito.","Vielen Dank für Ihre Nachricht!
Wir werden Sie in Kürze unter der angegebenen E-Mail-Adresse kontaktieren.","Bedankt voor uw bericht!
We nemen binnenkort contact met u op via het opgegeven e-mailadres.","Merci pour votre message !
Nous vous contacterons sous peu à l'adresse e-mail fournie.","Dziękujemy za wiadomość!
Wkrótce skontaktujemy się z Tobą na podany adres e-mail."
authorize_activity_bottom,Authorize Activity,"I agree with the Privacy Policy and the Cookie Policy, and give my consent to the processing of personal data.","Я согласен (-на) с Политикой Конфиденциальности и Политикой cookie, и даю свое согласие на обработку персональных данных.","Acepto la Política de Privacidad y la Política de Cookies, y doy mi consentimiento al tratamiento de datos personales.","Sono d'accordo con la Privacy Policy e la Cookie Policy, e presto il mio consenso al trattamento dei dati personali.",Ich stimme der Datenschutzerklärung und der Cookie-Richtlinie zu und gebe mein Einverständnis zur Verarbeitung personenbezogener Daten.,Ik ga akkoord met het Privacybeleid en het Cookiebeleid en geef toestemming voor de verwerking van persoonsgegevens.,J'accepte la politique de confidentialité et la politique en matière de cookies et donne mon consentement au traitement des données personnelles.,Zgadzam się z Polityką Prywatności i Polityką Cookies oraz wyrażam zgodę na przetwarzanie danych osobowych.
authorize_activity_policy,Authorize Activity,Privacy Policy,Политикой Конфиденциальности,Política de privacidad,Informativa sulla privacy,Datenschutzrichtlinie,Privacybeleid,Politique de confidentialité,Polityka prywatności
authorize_activity_agreement,Authorize Activity,Cookie Policy,Политикой cookie,Política de cookies,Politica sui cookie,Cookie-Richtlinie,Cookiebeleid,Politique en matière de cookies,Polityka plików cookie
authorize_activity_enter,Authorize Activity,Continue,Продолжить,Continuar,Continua,Weiter,Ga door,Continuer,Kontynuuj
authorize_activity_title,Authorize Activity,Join Easylight!,Присоединяйтесь к Easylight!,¡Únete a EasyLight!,Unisciti a EasyLight!,Treten Sie EasyLight bei!,Sluit je aan bij EasyLight!,Rejoignez EasyLight !,Dołącz do EasyLight!
profile_activity_title,Profile Activity,Profile,Профиль,Perfil,Profilo,Profil,Profiel,Profil,Profil
profile_activity_enter_with,Profile Activity,Logged in as,Вы вошли через почту,Iniciado sesión como,Effettuato l'accesso come,Angemeldet als,Aangemeld als,Connecté en tant que,Zalogowany jako
profile_activity_mail_not_approved,Profile Activity,Account not verified,Аккаунт не подтверждён,Cuenta no verificada,Conto non verificato,Konto nicht verifiziert,Account niet geverifieerd,Compte non vérifié,Konto niezweryfikowane
profile_activity_enter_by_email,Profile Activity,Log in with email,Вход по почте,Iniciar sesión con correo electrónico,Accedi con l'e-mail,Melden Sie sich mit E-Mail an,Inloggen met e-mail,Connectez-vous avec e-mail,Zaloguj się za pomocą e-maila
profile_activity_enter_by_google,Profile Activity,Log in with Google Play,Войти через Google Play,Inicia sesión con Google Play,Accedi con Google Play,Melden Sie sich mit Google Play an,Log in met Google Play,Connectez-vous avec Google Play,Zaloguj się w Google Play
profile_activity_about_app,Profile Activity,About the app,О приложении,Acerca de la aplicación,Informazioni sull'app,Über die App,Over de app,À propos de l'application,O aplikacji
profile_activity_rate_us,Profile Activity,Rate us,Оцените нас,Califícanos,Valutaci,Bewerten Sie uns,Beoordeel ons,Évaluez-nous,Oceń nas
profile_activity_report,Profile Activity,Report a problem,Сообщить о проблеме,Informar un problema,Segnala un problema,Melden Sie ein Problem,Meld een probleem,Signaler un problème,Zgłoś problem
profile_activity_telegram,Profile Activity,We are on Telegram,Мы в Telegram,Estamos en telegrama,Siamo su Telegram,Wir sind auf Telegram,Wij zitten op Telegram,Nous sommes sur Telegram,Jesteśmy na Telegramie
profile_activity_tariff,Profile Activity,Tariffs,Тарифы,Tarifas,Tariffe,Tarife,Tarieven,Tarifs,Taryfy
profile_activity_sign_out,Profile Activity,Log out,Выйти из аккаунта,Cerrar sesión,Esci,Abmelden,Uitloggen,Se déconnecter,Wyloguj się
profile_activity_invalid_email,Profile Activity,Invalid email,Некорректная почта,Correo electrónico no válido,E-mail non valida,Ungültige E-Mail,Ongeldig e-mailadres,E-mail invalide,Nieprawidłowy adres e-mail
profile_activity_expire_time_preview,Profile Activity,Active until:,Активен до:,Activo hasta:,Attivo fino al:,Aktiv bis:,Actief tot:,Actif jusqu'à :,Aktywny do:
profile_activity_to_tariffs,Profile Activity,Go to tariffs:,Перейти к тарифам:,Ir a tarifas:,Vai alle tariffe:,Zu den Tarifen:,Ga naar tarieven:,Accédez aux tarifs :,Przejdź do taryf:
profile_activity_to_premium_offer,Profile Activity,Go to %s,Перейти на %s,Ir a %s,Vai a %s,Gehen Sie zu %s,Ga naar %s,Aller à %s,Przejdź do %s
profile_activity_to_premium_offer_desc,Profile Activity,"Fast and stable network quality
without limitations","Быстрое и стабильное качество сети 
без ограничений","Calidad de red rápida y estable
sin limitaciones","Qualità di rete veloce e stabile
senza limitazioni","Schnelle und stabile Netzwerkqualität
ohne Einschränkungen","Snelle en stabiele netwerkkwaliteit
zonder beperkingen","Qualité de réseau rapide et stable
sans limitations","Szybka i stabilna jakość sieci
bez ograniczeń"
profile_activity_free_tariff_info,Profile Activity,"After the current plan expires, you will automatically switch to the free Basic plan",По истечении срока действия текущего тарифа вы автоматически перейдете на бесплатный Базовый тариф,"Después de que caduque el plan actual, cambiará automáticamente al plan Básico gratuito","Alla scadenza del piano attuale, passerai automaticamente al piano Basic gratuito",Nach Ablauf des aktuellen Plans wechseln Sie automatisch zum kostenlosen Basic-Plan,"Nadat het huidige abonnement afloopt, stap je automatisch over naar het gratis Basisabonnement","Après l'expiration du forfait actuel, vous passerez automatiquement au forfait Basic gratuit.",Po wygaśnięciu aktualnego planu automatycznie przejdziesz na bezpłatny plan Podstawowy
profile_activity_routing,Profile Activity,Routing,Исключения,Enrutamiento,Instradamento,Routenführung,Routering,Routage,Trasowanie
profile_activity_settings,Profile Activity,Settings,Настройки,Configuración,Impostazioni,Einstellungen,Instellingen,Paramètres,Ustawienia
profile_activity_current_tariff,Profile Activity,Current plan,Текущий тариф,plan actual,Piano attuale,Aktueller Plan,Huidig abonnement,Forfait actuel,Aktualny plan
profile_activity_tariff_label,Profile Activity,Current plan,Тариф,plan actual,Piano attuale,Aktueller Plan,Huidig abonnement,Forfait actuel,Aktualny plan
profile_activity_access,Profile Activity,Access,Доступ,Acceso,Accesso,Zugang,Toegang,Accès,Dostęp
profile_activity_forever_free,Profile Activity,Forever free,Бессрочно,libre para siempre,Per sempre libero,Für immer frei,Voor altijd gratis,Gratuit pour toujours,Zawsze wolny
profile_activity_prolong_date,Profile Activity,Renews on,Дата продления,Renueva el,Si rinnova,Verlängert sich am,Verlengt aan,Renouvelle le,Odnawia się
profile_activity_expire_date,Profile Activity,Expires on,Истекает,Expira el,Scade il,Läuft ab am,Verloopt op,Expire le,Wygasa w dniu
profile_activity_active_until,Profile Activity,Active until,Активен до,Activo hasta,Attivo fino al,Aktiv bis,Actief tot,Actif jusqu'à,Aktywny do
profile_activity_start_tariff_info,Profile Activity,"When this plan expires, you'll safely roll back to our free Basic plan.",По истечении срока действия текущего тарифа вы автоматически перейдете на бесплатный Базовый тариф.,"Cuando este plan caduque, volverás de forma segura a nuestro plan Básico gratuito.","Alla scadenza del piano, tornerai in tutta sicurezza al nostro piano Basic gratuito.","Wenn dieser Plan abläuft, können Sie sicher zu unserem kostenlosen Basic-Plan zurückkehren.","Wanneer dit abonnement afloopt, kun je veilig terugkeren naar ons gratis Basisabonnement.","À l'expiration de ce forfait, vous reviendrez en toute sécurité à notre forfait de base gratuit.","Kiedy ten plan wygaśnie, bezpiecznie powrócisz do naszego bezpłatnego planu podstawowego."
profile_activity_tariff_speed,Profile Activity,Speeds,Скорость,Velocidades,Velocità,Geschwindigkeiten,Snelheden,Vitesses,Prędkości
profile_activity_tariff_speed_info,Profile Activity,up to %d Mbps,до %d Мбит/с,hasta %d Mbps,fino a %dMbps,bis zu %d Mbit/s,tot %d Mbps,jusqu'à %d Mbit/s,do %d Mbps
profile_activity_device_limit,Profile Activity,Devices,Количество устройств,Dispositivos,Dispositivi,Geräte,Apparaten,Appareils,Urządzenia
profile_activity_device_limit_unlimit,Profile Activity,Unlimited,Неограничено,Ilimitado,Illimitato,Unbegrenzt,Onbeperkt,Illimité,Nieograniczony
welcome_activity_telegram,Welcome Activity,"Please try again later and stay tuned for application updates.

Application version:","Попробуйте позже и следите за обновлениями приложения.

 Версия приложения:","Vuelva a intentarlo más tarde y permanezca atento a las actualizaciones de la aplicación.

Aversión de la aplicación:","Riprova più tardi e resta sintonizzato per gli aggiornamenti dell'applicazione.

Versione dell'applicazione:","Bitte versuchen Sie es später noch einmal und bleiben Sie auf dem Laufenden über Anwendungsaktualisierungen.

Anwendungsversion:","Probeer het later opnieuw en houd ons in de gaten voor applicatie-updates.

Applicatieversie:","Veuillez réessayer plus tard et restez à l'écoute des mises à jour de l'application.

Version de l'application :","Spróbuj ponownie później i czekaj na aktualizacje aplikacji.

Awersja aplikacji:"
welcome_activity_status_default,Welcome Activity,Connecting,Подключение,Conectando,Connessione,Verbinden,Verbinden,Connexion,Łączenie
welcome_activity_status_prepare,Welcome Activity,Preparing,Подготовка,preparando,Preparazione,Vorbereiten,Voorbereiden,Préparation,Przygotowanie
welcome_activity_status_auth,Welcome Activity,Authorization,Авторизация,Autorización,Autorizzazione,Autorisierung,Autorisatie,Autorisation,Autoryzacja
welcome_activity_status_auth_complete,Welcome Activity,Authorization completed,Авторизация завершена,Autorización completada,Autorizzazione completata,Autorisierung abgeschlossen,Autorisatie voltooid,Autorisation complétée,Autoryzacja zakończona
welcome_activity_status_auth_skipped,Welcome Activity,Authorization skipped,Авторизация пропущена,Autorización omitida,Autorizzazione saltata,Autorisierung übersprungen,Autorisatie overgeslagen,Autorisation ignorée,Autoryzacja pominięta
welcome_activity_status_auth_failed,Welcome Activity,Authorization failed…,Авторизация провалена…,La autorización falló...,Autorizzazione non riuscita...,Autorisierung fehlgeschlagen…,Autorisatie mislukt…,L’autorisation a échoué…,Autoryzacja nie powiodła się…
welcome_activity_status_auth_retrying,Welcome Activity,Retrying authorization…,Авторизуемся ещё раз…,Reintentando autorización…,Nuovo tentativo di autorizzazione…,Autorisierung wird erneut versucht…,Autorisatie opnieuw proberen…,Nouvelle tentative d'autorisation…,Ponawiam autoryzację…
welcome_activity_status_auth_retrying1,Welcome Activity,Still authorizing…,Настраиваем маршрут…,Todavía autorizando...,Ancora autorizzando...,Immer noch genehmigend…,Nog steeds autoriseren...,Toujours autorisant…,Nadal autoryzuję…
welcome_activity_status_auth_retrying2,Welcome Activity,Preparing secure authorization…,Готовим защищённую авторизацию…,Preparando autorización segura...,Preparazione dell'autorizzazione sicura…,Sichere Autorisierung vorbereiten…,Veilige autorisatie voorbereiden…,Préparer une autorisation sécurisée…,Przygotowuję bezpieczną autoryzację…
welcome_activity_status_getting_servers,Welcome Activity,Getting servers,Получение серверов,Obteniendo servidores,Ottenere i server,Server bekommen,Servers verkrijgen,Obtenir des serveurs,Pobieranie serwerów
welcome_activity_status_getting_servers_complete,Welcome Activity,Servers retrieved,Получение серверов завершено,Servidores recuperados,Server recuperati,Server abgerufen,Servers opgehaald,Serveurs récupérés,Serwery odzyskane
welcome_activity_status_getting_servers_skipped,Welcome Activity,Getting servers skipped,Получение серверов пропущено,Obtener servidores omitidos,Ottenere i server saltati,Server werden übersprungen,Servers worden overgeslagen,Faire ignorer les serveurs,Pomijanie serwerów
welcome_activity_status_getting_servers_failed,Welcome Activity,Failed to get servers,Получение серверов провалено,No se pudieron obtener los servidores,Impossibile ottenere i server,Server konnten nicht abgerufen werden,Kan servers niet ophalen,Impossible d'obtenir les serveurs,Nie udało się pobrać serwerów
welcome_activity_status_unsupported_version,Welcome Activity,The version is not supported,Версия не поддерживается,La versión no es compatible.,La versione non è supportata,Die Version wird nicht unterstützt,De versie wordt niet ondersteund,La version n'est pas prise en charge,Wersja nie jest obsługiwana
welcome_activity_status_payment,Welcome Activity,Processing payment,Проведение платежа,Procesando pago,Elaborazione del pagamento,Zahlungsabwicklung,Betaling verwerken,Traitement du paiement,Przetwarzanie płatności
welcome_activity_status_payment_complete,Welcome Activity,Payment completed,Проведение платежа завершено,Pago completado,Pagamento completato,Zahlung abgeschlossen,Betaling voltooid,Paiement effectué,Płatność zakończona
welcome_activity_status_payment_failed,Welcome Activity,Payment failed,Проведение платежа провалено,Pago fallido,Pagamento non riuscito,Die Zahlung ist fehlgeschlagen,Betaling mislukt,Échec du paiement,Płatność nie powiodła się
rate_us_first_title,Rate us view,Do you like Easylight VPN?,Вам нравится EasyLight VPN?,¿Te gusta EasyLight VPN?,Ti piace EasyLight VPN?,Gefällt Ihnen EasyLight VPN?,Vind je EasyLight VPN leuk?,Aimez-vous EasyLight VPN ?,Czy podoba Ci się EasyLight VPN?
rate_us_first_description,Rate us view,"Your assessment will help make
the application better","Ваша оценка поможет сделать
приложение лучше","Su evaluación ayudará a mejorar la aplicación 
.","La tua valutazione aiuterà a migliorare l'applicazione
","Ihre Einschätzung wird dazu beitragen, die Anwendung zu verbessern","Uw beoordeling zal 
de toepassing helpen verbeteren","Votre évaluation contribuera à améliorer l'application 
.","Twoja ocena pomoże ulepszyć aplikację 
"
rate_us_bad_rate_cd,Rate us view,Bad rate,Плохая оценка,Mala tarifa,Cattiva tariffa,Schlechter Tarif,Slecht tarief,Mauvais taux,Zła stawka
rate_us_good_rate_cd,Rate us view,Good rate,Хорошая оценка,Buen precio,Buon prezzo,Guter Preis,Goed tarief,Bon tarif,Dobra stawka
rate_us_second_title,Rate us view,Review of the application,Отзыв о приложении,Revisión de la solicitud.,Revisione della domanda,Überprüfung des Antrags,Beoordeling van de aanvraag,Examen de la candidature,Recenzja aplikacji
